Complaint,DateOccur,Crime,Description,ILEADSAddress,ILEADSStreet,Generic Crime,Latitude,Longitude
20-057903,11/18/2020 0:00,52322,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE    ,1921,9TH,Burglary,38.6270025,-90.1994042
20-056354,11/18/2020 11:30,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4705,FLORISSANT,Motor Vehicle Theft,38.789217,-90.322614
20-055808,11/18/2020 12:00,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",5201,GRAND,Other Crime,38.598089,-90.2429759
20-054465,11/18/2020 12:00,51322,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED       ,3552,HALLIDAY AVE,Burglary,38.6701849,-90.2453139
20-054632,11/18/2020 14:30,69602,"LARCENY-ALL OTHER $500 - $24,999                  ",1024,N 14TH ST,Larceny,38.6465469,-90.1953009
20-054227,11/18/2020 20:37,52312,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED    ,4175,CHIPPEWA ST,Burglary,38.5907427,-90.2668441
20-052521,11/18/2020 22:59,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,3018,NEW ASHLAND,Weapons Offense,38.6645314,-90.2332503
20-052483,11/19/2020 8:27,71030,AUTO THEFT-PERM RETNT/JOY RIDE                    ,6124,N BROADWAY,Motor Vehicle Theft,38.6776694,-90.2074219
20-052483,11/19/2020 8:27,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,6124,N BROADWAY,Motor Vehicle Theft,38.6776694,-90.2074219
20-056201,11/19/2020 11:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,346,KINGSHIGHWAY,Larceny,38.6688592,-90.2570703
20-055331,11/19/2020 11:30,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,2743,GRAVOIS,Larceny,38.5895694,-90.255657
20-054299,11/19/2020 23:00,21000,RAPE -- FORCIBLE                                  ,55,DR MARTIN LUTHER KING DR,Rape,38.6314715,-90.1830359
18-055301,11/20/2018 22:31,82000,ARSON-2ND DEGREE/SUCCESS                          ,4329,LEE AVE,Arson,38.6729796,-90.2294503
20-052634,11/20/2020 0:42,92000,SIMPLE ASSAULT-HARRASSMENT                        ,3751,MERAMEC ST,Simple Assault,38.5830706,-90.2485453
20-053684,11/20/2020 17:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1307,MACKAY PL,Destruction of Property,38.6192666,-90.21604
20-054376,11/20/2020 17:00,52312,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED    ,725,N 23RD ST,Burglary,38.6521346,-90.2071823
20-056374,11/20/2020 21:02,242000,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I    ,1,MEMORIAL,Other Crime,38.626007,-90.1871083
20-056461,11/20/2020 22:30,67701,LARCENY-FROM BUILDING UNDER $500                  ,nan,,Larceny,38.6270025,-90.1994042
20-052794,11/21/2020 0:33,265321,LEAVING SCENE OF ACCIDENT                         ,5052,GRACE AVE,Other Crime,38.5802819,-90.2459494
20-053100,11/21/2020 2:17,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,3021,NEW ASHLAND,Weapons Offense,38.6645314,-90.2332503
